"allocation(33,5,27)","1.0"
"allocation(33,7,8)","1.0"
"allocation(33,7,9)","1.0"
"allocation(34,3,9)","1.0"
"allocation(34,3,10)","1.0"
"allocation(34,3,11)","1.0"
"allocation(34,3,12)","1.0"
"allocation(34,3,22)","1.0"
"allocation(34,3,23)","1.0"
"allocation(34,3,26)","1.0"
"allocation(34,3,27)","1.0"
"allocation(34,3,28)","1.0"
"allocation(34,5,13)","1.0"
"allocation(34,5,14)","1.0"
"allocation(36,7,22)","1.0"
"allocation(36,7,23)","1.0"
"allocation(36,7,24)","1.0"
"allocation(36,7,25)","1.0"
"allocation(37,6,10)","1.0"
"allocation(37,6,11)","1.0"
"allocation(37,6,12)","1.0"
"allocation(37,6,22)","1.0"
"allocation(37,6,23)","1.0"
"allocation(37,7,26)","1.0"
"allocation(37,7,27)","1.0"
"allocation(37,7,28)","1.0"
"allocation(41,4,2)","1.0"
"allocation(41,4,3)","1.0"
"allocation(41,4,4)","1.0"
"allocation(41,4,5)","1.0"
"allocation(41,5,18)","1.0"
"allocation(41,5,19)","1.0"
"allocation(41,5,20)","1.0"
"allocation(41,5,21)","1.0"
"allocation(44,5,15)","1.0"
"allocation(44,5,16)","1.0"
"allocation(44,5,17)","1.0"
"allocation(47,2,18)","1.0"
"allocation(47,2,19)","1.0"
"allocation(47,4,6)","1.0"
"allocation(47,4,7)","1.0"
"allocation(47,4,8)","1.0"
"allocation(47,4,9)","1.0"
"allocation(47,5,22)","1.0"
"allocation(47,5,23)","1.0"
"allocation(48,0,0)","1.0"
"allocation(48,0,1)","1.0"
"allocation(48,0,2)","1.0"
"allocation(48,0,3)","1.0"
"allocation(49,2,8)","1.0"
"allocation(49,2,9)","1.0"
"allocation(49,2,13)","1.0"
"allocation(49,2,14)","1.0"
"allocation(49,2,24)","1.0"
"allocation(49,2,25)","1.0"
"allocation(49,2,26)","1.0"
"allocation(50,1,6)","1.0"
"allocation(50,1,7)","1.0"
"allocation(52,2,22)","1.0"
"allocation(52,2,23)","1.0"
"allocation(52,2,27)","1.0"
"allocation(52,2,28)","1.0"
"allocation(52,4,13)","1.0"
"allocation(52,4,14)","1.0"
"allocation(52,5,11)","1.0"
"allocation(52,5,12)","1.0"
"allocation(54,1,24)","1.0"
"allocation(54,1,25)","1.0"
"allocation(54,5,8)","1.0"
"allocation(54,5,9)","1.0"
"allocation(54,5,10)","1.0"
"allocation(55,1,18)","1.0"
"allocation(55,1,19)","1.0"
"allocation(57,8,3)","1.0"
"allocation(57,8,4)","1.0"
"allocation(57,8,5)","1.0"
"allocation(57,8,6)","1.0"
"allocation(59,2,10)","1.0"
"allocation(59,2,11)","1.0"
"allocation(59,2,12)","1.0"
"allocation(60,1,27)","1.0"
"allocation(60,1,28)","1.0"
"allocation(60,3,24)","1.0"
"allocation(60,3,25)","1.0"
"allocation(61,2,15)","1.0"
"allocation(61,2,16)","1.0"
"allocation(61,2,17)","1.0"
"allocation(63,2,3)","1.0"
"allocation(63,2,4)","1.0"
"allocation(63,3,18)","1.0"
"allocation(63,3,19)","1.0"
"allocation(67,1,10)","1.0"
"allocation(67,1,11)","1.0"
"allocation(73,1,14)","1.0"
"allocation(73,1,15)","1.0"
"allocation(74,1,29)","1.0"
"allocation(74,1,30)","1.0"
"allocation(74,7,0)","1.0"
"allocation(74,7,1)","1.0"
